사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자
202512,1호선,청량리(서울시립대입구),444639,301014,441089,302847,20260103
202512,1호선,동묘앞,159800,151749,165315,154303,20260103
202512,1호선,서울역,2139266,285273,2033765,269301,20260103
202512,1호선,시청,757526,123162,761025,121534,20260103
202512,1호선,종각,1169643,185655,1114545,171213,20260103
202512,1호선,종로3가,532846,323524,469163,295418,20260103
202512,1호선,종로5가,498106,257349,489492,250684,20260103
202512,1호선,동대문,268677,135572,260411,133695,20260103
202512,1호선,신설동,315831,127075,303373,122587,20260103
202512,1호선,제기동,237506,260338,228264,280931,20260103
202512,2호선,신당,383643,98557,406379,101115,20260103
202512,2호선,상왕십리,376492,73922,368773,74682,20260103
202512,2호선,왕십리(성동구청),463488,61261,427821,56615,20260103
202512,2호선,건대입구,1146662,108026,1201189,112317,20260103
202512,2호선,잠실나루,350294,99708,337564,98672,20260103
202512,2호선,강변(동서울터미널),758582,124365,690840,118310,20260103
202512,2호선,시청,776522,72809,707569,64681,20260103
202512,2호선,을지로입구,1583801,133059,1615231,124417,20260103
202512,2호선,을지로3가,728968,85225,729511,85343,20260103
202512,2호선,을지로4가,382908,81434,379952,80679,20260103
202512,2호선,구의(광진구청),749759,132893,736055,133642,20260103
202512,2호선,동대문역사문화공원(DDP),435023,67464,515054,74358,20260103
202512,2호선,교대(법원.검찰청),755413,175037,913328,210019,20260103
202512,2호선,강남,2354430,188170,2331914,164829,20260103
202512,2호선,역삼,1320249,155711,1491414,158757,20260103
202512,2호선,선릉,1449962,260590,1268619,229004,20260103
202512,2호선,삼성(무역센터),1734254,145294,1696150,135573,20260103
202512,2호선,종합운동장,251004,57781,276465,60513,20260103
202512,2호선,잠실새내,633605,128352,625195,127505,20260103
202512,2호선,잠실(송파구청),2570844,255953,2520700,245328,20260103
202512,2호선,방배,437408,86849,450108,85668,20260103
202512,2호선,사당,1121638,275361,1248205,261207,20260103
202512,2호선,낙성대(강감찬),737576,123794,706399,125897,20260103
202512,2호선,서울대입구(관악구청),1249968,197578,1200142,186331,20260103
202512,2호선,봉천,589359,167691,543952,167176,20260103
202512,2호선,신림,1520913,220738,1483487,221716,20260103
202512,2호선,신대방,626153,139542,592764,140705,20260103
202512,2호선,구로디지털단지,1504375,240595,1484292,239869,20260103
202512,2호선,대림(구로구청),604793,152139,615864,158080,20260103
202512,2호선,신도림,1282044,255430,1240026,239698,20260103
202512,2호선,문래,610866,97565,635935,97328,20260103
202512,2호선,영등포구청,588329,120297,611747,119780,20260103
202512,2호선,당산,499331,65991,568940,72809,20260103
202512,2호선,합정,958696,77764,1056224,79792,20260103
202512,2호선,홍대입구,2326666,114074,2506305,110914,20260103
202512,2호선,신촌,1079062,141665,1091088,140173,20260103
202512,2호선,이대,477437,54610,514498,58558,20260103
202512,2호선,아현,276334,72298,258162,71205,20260103
202512,2호선,충정로(경기대입구),261004,51525,282726,51581,20260103
202512,2호선,용답,73430,18701,72920,18455,20260103
202512,2호선,신답,42160,10326,48625,10624,20260103
202512,2호선,신설동,87083,35866,84575,38080,20260103
202512,2호선,도림천,30624,9937,31628,10938,20260103
202512,2호선,양천구청,149990,58691,159434,59453,20260103
202512,2호선,신정네거리,234674,82790,238313,84556,20260103
202512,2호선,용두(동대문구청),52739,22915,50804,24453,20260103
202512,2호선,한양대,344962,15906,370603,17294,20260103
202512,2호선,뚝섬,711688,72272,744323,71937,20260103
202512,2호선,성수,1715327,110207,1839341,110770,20260103
202512,2호선,서초,581170,110299,560063,111427,20260103
202512,3호선,오금,159208,37873,141748,35844,20260103
202512,3호선,대청,265377,69466,245707,67291,20260103
202512,3호선,일원,268896,78225,260401,77783,20260103
202512,3호선,수서,453621,136190,451243,131804,20260103
202512,3호선,가락시장,204549,91033,202096,88473,20260103
202512,3호선,경찰병원,175503,51305,172881,53283,20260103
202512,3호선,지축,191017,39021,192132,38417,20260103
202512,3호선,구파발,538244,151848,524205,145121,20260103
202512,3호선,연신내,875925,290989,834583,281694,20260103
202512,3호선,불광,354968,159919,373131,176692,20260103
202512,3호선,녹번,380360,88656,344310,87486,20260103
202512,3호선,홍제,406550,159242,383797,156037,20260103
202512,3호선,무악재,93762,35155,89663,37444,20260103
202512,3호선,독립문,172962,74939,181145,75828,20260103
202512,3호선,경복궁(정부서울청사),713570,100445,725011,95898,20260103
202512,3호선,안국,690644,115055,717788,123228,20260103
202512,3호선,종로3가,274380,77847,310346,88422,20260103
