역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,시간대총합
우장산,하차,16845,65323,88373,131743,161503,200249,212713,238263,255299,279001,319808,336889,287028,237580,160126,106873,77960,50857,19891,3825,3250149
을지로3가,승차,34066,27301,36084,69356,89118,164458,214959,243587,309075,454667,485293,442632,408960,326584,224364,177985,135679,67371,22775,2302,3936616
을지로3가,하차,48619,169482,196444,369190,462943,442615,398760,354035,304272,278676,221906,192190,159620,89445,40637,22941,16000,8509,4686,1540,3782510
응암,승차,185868,201942,242562,341652,344682,337751,323221,315570,303605,261805,244928,216047,174425,121597,90319,63595,42907,25881,8548,1082,3847987
응암,하차,23493,79878,98211,111992,156508,205456,243354,263126,258760,286771,391154,416198,380694,306575,223471,161342,114220,74951,33823,6540,3836517
잠실,승차,145151,202428,207628,302351,448925,577957,659653,618930,708402,889042,1099460,968289,746758,542025,401921,313753,211251,131963,28250,3415,9207552
잠실,하차,105011,309565,307203,320801,423859,732326,978721,768927,737071,792157,800603,744200,636156,439910,283934,212983,157547,88568,31833,7060,8878435
잠실나루,승차,37268,82851,89820,156293,238453,282573,281512,241480,223130,246006,247337,258236,167381,98993,75900,55957,31222,15288,4511,321,2834532
잠실나루,하차,21682,93360,134075,173134,196963,207571,200299,227132,223236,221898,234168,221238,213359,158829,114795,87899,64376,36457,11622,2131,2844224
장한평,승차,95709,118338,137631,168387,180254,184271,178683,191041,198866,207337,229300,259691,254551,290653,149165,73787,45518,26219,6372,989,2996762
장한평,하차,22954,151488,162352,206064,180976,275766,257110,225483,205957,193040,227291,238955,225344,177799,118394,78711,58218,37136,17765,2549,3063352
제기동,승차,78802,94575,127698,195651,316519,516120,727503,860843,927508,1043040,1175080,1067612,727097,465047,313801,173990,69935,29756,7199,1698,8919474
제기동,하차,37989,137528,213279,348164,600889,923992,1150575,1241096,1271606,1145462,909458,714344,451509,215012,112779,63849,46768,26208,12600,1743,9624850
종각,승차,35356,39875,43450,55431,91988,165698,246829,315712,394390,548061,659499,538634,377583,272717,232284,205960,168803,84903,19128,1269,4497570
