역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,총승하차인원,유임승하차인원,무임승하차인원,시간대총합
을지로3가,하차,113354,1094583,3855215,9014362,3693854,1785927,1570740,1496994,1629929,1465723,1485999,1708969,2074111,2404204,1481168,888516,743262,623116,393103,101354,37628794,33272191,4356603,37624483
응암,하차,49290,224683,351541,655177,553460,528272,553559,658438,702993,789851,1035270,1266690,1721539,2718617,2114549,1358160,1160844,1054771,693631,209869,18401636,13840290,4561346,18401204
잠실,하차,283059,1717694,4182169,9448014,7859593,6013150,6043867,5904190,6082143,5974780,6431117,6979446,8433679,10431428,6599855,4247378,3764781,3344846,1833414,412972,106000631,95262209,10738422,105987575
잠실나루,하차,102601,591513,815613,1372749,884333,680096,609040,737556,780345,725113,745359,811084,1043599,1457630,1058787,682729,654412,618132,337563,101903,14812124,11586988,3225136,14810157
장한평,하차,46447,469641,840934,2373667,1077592,778049,706774,723568,762215,738836,854871,1053326,1506940,2421226,1671048,1033428,969188,872838,540830,159448,19606639,15884839,3721800,19600866
제기동,하차,84591,341062,743299,1371577,1191117,1353580,1602883,1677073,1730271,1610876,1359430,1219400,1015160,983133,659731,440694,410469,351556,224951,52789,18424165,7982178,10441987,18423642
종각,하차,202407,1143761,4010631,9513341,5301581,2286731,2186952,1945950,1928791,1623089,1451909,1556216,1777374,1845695,927617,481386,356877,260130,161102,40684,39002704,33929262,5073442,39002224
종로3가,하차,162773,930267,2058837,5509063,5149425,4449420,4721235,4620245,4351177,3900015,3503042,3435613,3493507,3641431,2021802,1169917,920081,725663,466483,173206,55407009,39380093,16026916,55403202
종로5가,하차,132978,581318,1475673,3357778,2297678,2096381,2210849,2070255,1932260,1805513,1540143,1437379,1297990,1169192,676560,383323,279521,212142,131311,36162,25124776,16472112,8652664,25124406
창동,하차,94784,479529,725809,1589958,1271319,1145611,1142763,1381259,1626267,1675735,1824338,2057520,2485707,3337479,2761786,1719178,1505504,1369917,843070,297644,29341655,20884443,8457212,29335177
천호,하차,138126,978672,1308628,2591520,2312803,1825517,1894257,1995726,2240076,2184836,2437217,2655514,3359900,4636698,3159432,1907643,1704438,1421094,859950,283938,39901333,30816697,9084636,39895985
청량리,하차,181293,961133,1258370,2248293,2509632,2594263,3084173,2954816,3012164,3184463,3132258,3125482,3130345,3966006,2668057,1609228,1578447,1170269,682194,262911,43315969,27345631,15970338,43313797
총신대입구,하차,38025,386177,667067,1513529,1103493,923263,927252,1015215,1121371,1198609,1409625,1641442,2045434,2822561,1750444,1057375,932281,807215,473497,120217,21976626,15952831,6023795,21954092
하계,하차,63039,245107,577552,983451,784616,618014,634929,798054,924934,848910,955248,1108172,1388578,2095185,1899787,1114108,985663,933150,620189,192165,17771205,13652974,4118231,17770851
혜화,하차,77454,824599,1794205,4194008,3207989,2491227,2423570,2849966,3490859,2983860,2401334,2357269,2711735,2987825,2063282,824677,753978,655553,409187,125892,39645307,34867970,4777337,39628469
홍대입구,하차,151430,814988,1910443,5111666,6210028,5122584,6019510,7040326,7621294,7155958,7208977,7649846,8739604,10306903,7419861,4560583,3707910,3080292,2184720,774506,102867371,98393721,4473650,102791429
홍제,하차,49782,243592,388749,896876,749871,700330,681597,734959,813985,914566,1102025,1301757,1620510,2279932,1867683,1153924,1043137,902382,553458,139484,18139279,12940913,5198366,18138599
화곡,하차,56057,359942,552940,1174352,926787,700126,741758,866487,989008,1133085,1423269,1881350,2476824,4412563,3164138,1992183,1889822,1629190,1020320,303048,27694279,22318566,5375713,27693249
회현,하차,27791,765381,1968942,5189644,3644158,2925146,2803222,2300483,2061500,1891507,1573779,1222450,988137,822533,481672,279830,253800,211499,134256,41680,29590611,22264661,7325950,29587410
