사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자
202312,1호선,신설동,289402,120282,276992,116775,20240103
202312,1호선,종로3가,488467,310689,450427,286850,20240103
202312,1호선,동대문,236114,128542,228110,127639,20240103
202312,1호선,서울역,1442704,211843,1404121,203808,20240103
202312,1호선,시청,696784,99882,684254,98107,20240103
202312,1호선,종각,1010849,162696,985165,152064,20240103
202312,1호선,종로5가,483866,246504,476917,239266,20240103
202312,1호선,동묘앞,144443,146515,150931,148571,20240103
202312,1호선,청량리(서울시립대입구),380606,274847,372443,276209,20240103
202312,1호선,제기동,231358,256218,219338,272510,20240103
202312,2호선,을지로4가,317873,77737,326029,77350,20240103
202312,2호선,왕십리(성동구청),422889,55587,379790,49671,20240103
202312,2호선,상왕십리,353125,69110,340449,69442,20240103
202312,2호선,신당,346163,93120,372336,95854,20240103
202312,2호선,동대문역사문화공원(DDP),397184,59972,470844,64609,20240103
202312,2호선,을지로3가,649983,78399,636802,76370,20240103
202312,2호선,잠실나루,336712,91495,323745,90966,20240103
202312,2호선,강변(동서울터미널),836412,123772,791150,118326,20240103
202312,2호선,삼성(무역센터),1547955,128153,1528549,117439,20240103
202312,2호선,선릉,1301816,226642,1146995,198162,20240103
202312,2호선,역삼,1171020,150688,1334723,153741,20240103
202312,2호선,강남,2147804,167806,2103543,145911,20240103
202312,2호선,교대(법원.검찰청),698451,155703,849482,188110,20240103
202312,2호선,서초,540940,97642,515045,97923,20240103
202312,2호선,방배,404154,80096,419595,79508,20240103
202312,2호선,사당,1022015,238624,1129342,224078,20240103
202312,2호선,낙성대(강감찬),697376,109130,663721,111635,20240103
202312,2호선,서울대입구(관악구청),1171481,181344,1139798,171398,20240103
202312,2호선,봉천,548024,152147,500084,150810,20240103
202312,2호선,신림,1416606,208689,1350430,206669,20240103
202312,2호선,신대방,617971,129595,588536,130197,20240103
202312,2호선,구로디지털단지,1430091,196977,1403831,196563,20240103
202312,2호선,대림(구로구청),584957,132813,597963,136621,20240103
202312,2호선,신도림,1264678,233371,1257867,221381,20240103
202312,2호선,문래,548232,88254,567077,88222,20240103
202312,2호선,영등포구청,515106,103404,535201,102121,20240103
202312,2호선,당산,452274,60369,526081,65450,20240103
202312,2호선,합정,936774,72107,1031529,72715,20240103
202312,2호선,홍대입구,2177364,103855,2372022,101215,20240103
202312,2호선,신촌,1037856,126570,1067467,125203,20240103
202312,2호선,이대,424899,49726,461817,52003,20240103
202312,2호선,아현,254011,64701,234003,63158,20240103
202312,2호선,충정로(경기대입구),242585,48041,258721,48351,20240103
202312,2호선,용답,69934,17181,68523,16910,20240103
202312,2호선,신답,37179,9504,41423,10469,20240103
202312,2호선,신설동,81506,33233,77976,35341,20240103
202312,2호선,도림천,27700,7578,29130,8700,20240103
202312,2호선,양천구청,147190,51800,155538,52999,20240103
202312,2호선,신정네거리,227327,76010,232500,77880,20240103
202312,2호선,용두(동대문구청),49941,23920,48368,24727,20240103
202312,2호선,시청,697558,61727,629317,56189,20240103
202312,2호선,을지로입구,1399572,119872,1418244,110914,20240103
202312,2호선,구의(광진구청),613573,108726,592710,109469,20240103
202312,2호선,건대입구,1045524,98723,1115033,102276,20240103
202312,2호선,성수,1149979,102429,1264676,103810,20240103
202312,2호선,뚝섬,659564,61554,693655,61652,20240103
202312,2호선,종합운동장,240493,48865,264095,50666,20240103
202312,2호선,잠실새내,591563,116613,597566,114943,20240103
202312,2호선,잠실(송파구청),2407622,230837,2389008,222781,20240103
202312,2호선,한양대,292705,13543,319697,14494,20240103
202312,3호선,학여울,57930,19968,59665,19590,20240103
202312,3호선,오금,151504,34021,135449,32463,20240103
202312,3호선,경찰병원,166800,44494,164920,46010,20240103
202312,3호선,가락시장,189770,86300,188625,84339,20240103
202312,3호선,수서,441466,120331,449863,118324,20240103
202312,3호선,일원,244148,72596,233891,72140,20240103
202312,3호선,대청,244341,64490,227668,62079,20240103
202312,3호선,종로3가,245424,66515,295038,76545,20240103
202312,3호선,을지로3가,292581,52428,301563,49951,20240103
202312,3호선,충무로,65,2,0,0,20240103
202312,3호선,동대입구,277700,41327,305286,44929,20240103
202312,3호선,약수,303511,85232,294770,80290,20240103
202312,3호선,금호,181440,56710,165407,55162,20240103
202312,3호선,옥수,198591,60429,205147,60527,20240103
202312,3호선,압구정,813866,142238,890821,142509,20240103
202312,3호선,신사,774933,72859,815465,70918,20240103
202312,3호선,잠원,115238,32390,109019,31069,20240103
202312,3호선,고속터미널,1354909,227210,1310489,212720,20240103
202312,3호선,교대(법원.검찰청),386297,91509,227187,49808,20240103
202312,3호선,남부터미널(예술의전당),744620,128952,756175,129745,20240103
202312,3호선,양재(서초구청),888586,162979,976681,163551,20240103
202312,3호선,매봉,279257,74088,272947,70113,20240103
