호선명,지하철역,총승차인원,무임승차인원,총하차인원,무임하차인원,전체승하차,무임승하차,무임승하차비중
1,제기동,501317.0,269661.0,511782.0,290055.0,1013099.0,559716.0,55.25
1,종각,1112527.0,151760.0,1083408.0,140929.0,2195935.0,292689.0,13.33
1,종로5가,712905.0,247967.0,697910.0,240352.0,1410815.0,488319.0,34.61
1,청량리,662997.0,280334.0,656727.0,281655.0,1319724.0,561989.0,42.58
2,강남,2302759.0,161221.0,2246564.0,140970.0,4549323.0,302191.0,6.64
2,강변,888712.0,119587.0,836482.0,115283.0,1725194.0,234870.0,13.61
2,구로디지털단지,1626825.0,202295.0,1608586.0,202474.0,3235411.0,404769.0,12.51
2,구의,730178.0,110581.0,711614.0,111191.0,1441792.0,221772.0,15.38
2,낙성대,810918.0,112223.0,784138.0,113841.0,1595056.0,226064.0,14.17
2,도림천,37399.0,8718.0,39669.0,9693.0,77068.0,18411.0,23.89
2,뚝섬,710875.0,64395.0,741250.0,64291.0,1452125.0,128686.0,8.86
2,문래,641250.0,89809.0,662394.0,89608.0,1303644.0,179417.0,13.76
2,방배,485486.0,78042.0,499315.0,77140.0,984801.0,155182.0,15.76
2,봉천,704725.0,154480.0,658851.0,154135.0,1363576.0,308615.0,22.63
2,삼성,1566279.0,122593.0,1570254.0,113554.0,3136533.0,236147.0,7.53
2,상왕십리,417424.0,69340.0,407328.0,70375.0,824752.0,139715.0,16.94
2,서울대입구,1360212.0,182456.0,1316590.0,172495.0,2676802.0,354951.0,13.26
2,서초,630661.0,91534.0,607444.0,91103.0,1238105.0,182637.0,14.75
2,선릉,1557470.0,234282.0,1369726.0,206084.0,2927196.0,440366.0,15.04
2,성수,1299199.0,101661.0,1417724.0,102733.0,2716923.0,204394.0,7.52
2,신답,47284.0,9756.0,52309.0,10300.0,99593.0,20056.0,20.14
2,신대방,743464.0,132928.0,714755.0,133502.0,1458219.0,266430.0,18.27
2,신도림,1475772.0,232560.0,1441309.0,219085.0,2917081.0,451645.0,15.48
2,신림,1621945.0,203222.0,1569510.0,202067.0,3191455.0,405289.0,12.7
2,신정네거리,297116.0,75675.0,305259.0,77305.0,602375.0,152980.0,25.4
2,신촌,1138288.0,124809.0,1154391.0,122348.0,2292679.0,247157.0,10.78
2,아현,319025.0,66492.0,298393.0,65306.0,617418.0,131798.0,21.35
2,양천구청,197538.0,53520.0,206684.0,54294.0,404222.0,107814.0,26.67
2,역삼,1365465.0,144238.0,1542672.0,147528.0,2908137.0,291766.0,10.03
2,용답,87730.0,18244.0,86887.0,18091.0,174617.0,36335.0,20.81
2,용두,73197.0,24358.0,73371.0,25440.0,146568.0,49798.0,33.98
2,을지로입구,1406984.0,106435.0,1432825.0,98904.0,2839809.0,205339.0,7.23
2,이대,487275.0,50430.0,529941.0,53636.0,1017216.0,104066.0,10.23
2,잠실나루,423808.0,89855.0,411448.0,89587.0,835256.0,179442.0,21.48
2,잠실새내,693048.0,116198.0,685965.0,115050.0,1379013.0,231248.0,16.77
2,종합운동장,381409.0,54023.0,424051.0,56616.0,805460.0,110639.0,13.74
2,한양대,321529.0,14246.0,352173.0,15207.0,673702.0,29453.0,4.37
2,홍대입구,2164692.0,101308.0,2331846.0,98658.0,4496538.0,199966.0,4.45
3,경복궁,766568.0,97674.0,783608.0,96778.0,1550176.0,194452.0,12.54
3,경찰병원,210552.0,45562.0,210417.0,47045.0,420969.0,92607.0,22.0
3,구파발,637558.0,135019.0,620332.0,129765.0,1257890.0,264784.0,21.05
3,금호,235008.0,55091.0,219044.0,53961.0,454052.0,109052.0,24.02
3,남부터미널,877287.0,128438.0,887839.0,129547.0,1765126.0,257985.0,14.62
3,녹번,445760.0,81350.0,404900.0,80142.0,850660.0,161492.0,18.98
3,대청,306333.0,64039.0,287807.0,62053.0,594140.0,126092.0,21.22
3,대치,363626.0,72155.0,353440.0,69745.0,717066.0,141900.0,19.79
3,도곡,162510.0,28774.0,162651.0,27276.0,325161.0,56050.0,17.24
3,독립문,229904.0,73131.0,237427.0,73622.0,467331.0,146753.0,31.4
3,동대입구,318998.0,41816.0,354729.0,45635.0,673727.0,87451.0,12.98
3,매봉,352203.0,74367.0,339625.0,69483.0,691828.0,143850.0,20.79
3,무악재,125533.0,32954.0,124422.0,35259.0,249955.0,68213.0,27.29
3,수서,550226.0,122889.0,549854.0,119836.0,1100080.0,242725.0,22.06
3,신사,803031.0,70338.0,839468.0,68102.0,1642499.0,138440.0,8.43
3,안국,792762.0,108590.0,822163.0,114119.0,1614925.0,222709.0,13.79
3,압구정,906573.0,140196.0,970678.0,139004.0,1877251.0,279200.0,14.87
3,양재,1041290.0,153085.0,1120906.0,154212.0,2162196.0,307297.0,14.21
3,옥수,263044.0,62135.0,269140.0,62129.0,532184.0,124264.0,23.35
3,일원,310447.0,70596.0,300704.0,70413.0,611151.0,141009.0,23.07
3,잠원,156644.0,34279.0,149142.0,32751.0,305786.0,67030.0,21.92
3,지축,208998.0,36660.0,207220.0,35500.0,416218.0,72160.0,17.34
3,학여울,73982.0,18231.0,75530.0,17950.0,149512.0,36181.0,24.2
3,홍제,530608.0,146942.0,503869.0,144399.0,1034477.0,291341.0,28.16
4,길음,628482.0,125633.0,621129.0,125259.0,1249611.0,250892.0,20.08
4,남태령,42171.0,8901.0,34627.0,8196.0,76798.0,17097.0,22.26
4,당고개,279583.0,77469.0,245540.0,76228.0,525123.0,153697.0,29.27
4,명동,1024787.0,80421.0,1099284.0,83092.0,2124071.0,163513.0,7.7
4,미아,456892.0,121117.0,439668.0,122900.0,896560.0,244017.0,27.22
4,미아사거리,779304.0,190582.0,765423.0,190213.0,1544727.0,380795.0,24.65
4,불암산,289358.0,84601.0,252956.0,83424.0,542314.0,168025.0,30.98
4,상계,567980.0,132469.0,528993.0,129123.0,1096973.0,261592.0,23.85
4,성신여대입구,650518.0,92470.0,627105.0,90891.0,1277623.0,183361.0,14.35
4,수유,1001984.0,198968.0,1002275.0,200056.0,2004259.0,399024.0,19.91
4,숙대입구,441015.0,56826.0,427018.0,53034.0,868033.0,109860.0,12.66
4,신용산,583290.0,58072.0,626444.0,58695.0,1209734.0,116767.0,9.65
4,쌍문,850936.0,181630.0,787722.0,178911.0,1638658.0,360541.0,22.0
4,이촌,291058.0,53692.0,316137.0,56438.0,607195.0,110130.0,18.14
4,창동,775634.0,227917.0,815046.0,234923.0,1590680.0,462840.0,29.1
4,총신대입구,564012.0,159811.0,610462.0,167328.0,1174474.0,327139.0,27.85
4,한성대입구,422016.0,76857.0,409204.0,75462.0,831220.0,152319.0,18.32
4,혜화,1093159.0,134964.0,1101259.0,132704.0,2194418.0,267668.0,12.2
4,회현,790571.0,203810.0,821961.0,203499.0,1612532.0,407309.0,25.26
5,강동,533364.0,114472.0,516922.0,111842.0,1050286.0,226314.0,21.55
5,강일,170232.0,45780.0,156100.0,43927.0,326332.0,89707.0,27.49
5,개롱,190212.0,53640.0,196781.0,55256.0,386993.0,108896.0,28.14
5,개화산,172565.0,43852.0,164917.0,42730.0,337482.0,86582.0,25.66
5,거여,291759.0,70164.0,282342.0,68179.0,574101.0,138343.0,24.1
5,고덕,299295.0,79625.0,292521.0,78156.0,591816.0,157781.0,26.66
5,광나루,375202.0,73599.0,353884.0,71628.0,729086.0,145227.0,19.92
5,광화문,957048.0,100036.0,1006443.0,99151.0,1963491.0,199187.0,10.14
5,굽은다리,288736.0,83933.0,275879.0,78941.0,564615.0,162874.0,28.85
5,길동,247837.0,82177.0,254202.0,83931.0,502039.0,166108.0,33.09
5,까치산,814059.0,164710.0,781516.0,165992.0,1595575.0,330702.0,20.73
5,답십리,458993.0,86954.0,416125.0,83704.0,875118.0,170658.0,19.5
5,둔촌동,296332.0,78666.0,294564.0,79119.0,590896.0,157785.0,26.7
5,마곡,347361.0,52044.0,351461.0,50645.0,698822.0,102689.0,14.69
5,마장,172049.0,43789.0,161650.0,42637.0,333699.0,86426.0,25.9
5,마천,214340.0,59538.0,198016.0,60889.0,412356.0,120427.0,29.2
5,마포,415591.0,66098.0,422710.0,65596.0,838301.0,131694.0,15.71
5,명일,252942.0,73518.0,255248.0,75135.0,508190.0,148653.0,29.25
5,목동,477823.0,87895.0,509824.0,89392.0,987647.0,177287.0,17.95
5,발산,646724.0,113341.0,668751.0,109595.0,1315475.0,222936.0,16.95
5,방이,216835.0,52521.0,221174.0,52503.0,438009.0,105024.0,23.98
5,방화,203041.0,57926.0,194670.0,56879.0,397711.0,114805.0,28.87
5,상일동,419058.0,96105.0,397475.0,94654.0,816533.0,190759.0,23.36
5,서대문,549925.0,73647.0,552121.0,69654.0,1102046.0,143301.0,13.0
5,송정,187616.0,51923.0,177560.0,49900.0,365176.0,101823.0,27.88
5,신금호,184048.0,40032.0,194994.0,45260.0,379042.0,85292.0,22.5
5,신길,140429.0,12815.0,144543.0,13241.0,284972.0,26056.0,9.14
5,신정,386339.0,67243.0,322966.0,65125.0,709305.0,132368.0,18.66
5,아차산,443991.0,107459.0,431490.0,104831.0,875481.0,212290.0,24.25
5,애오개,191333.0,40245.0,187395.0,38796.0,378728.0,79041.0,20.87
5,양평,217500.0,31548.0,211295.0,31034.0,428795.0,62582.0,14.59
5,여의나루,412094.0,33235.0,470524.0,32782.0,882618.0,66017.0,7.48
5,영등포시장,337898.0,79894.0,342868.0,81581.0,680766.0,161475.0,23.72
5,오목교,619344.0,93232.0,653117.0,92509.0,1272461.0,185741.0,14.6
5,올림픽공원,162308.0,41571.0,144586.0,36964.0,306894.0,78535.0,25.59
5,우장산,427755.0,101202.0,423688.0,105280.0,851443.0,206482.0,24.25
5,장한평,551537.0,101379.0,544629.0,103383.0,1096166.0,204762.0,18.68
5,행당,233829.0,53073.0,207738.0,48025.0,441567.0,101098.0,22.9
5,화곡,826102.0,155956.0,769286.0,149325.0,1595388.0,305281.0,19.14
6,고려대,260067.0,36577.0,249432.0,35940.0,509499.0,72517.0,14.23
6,광흥창,271530.0,56070.0,260009.0,55268.0,531539.0,111338.0,20.95
